Periodo;Nombre completo;Id. del estudiante;Correo electrónico;Fecha de inscripción;Título de la clase;Curso de ALEKS;Fecha inicial de la verificación de conocimientos;Icfes nuevo;Icfes Matemáticas;Tiempo empleado en la verificación de conocimientos;Dominados (cantidad de temas);Primera verificación de conocimientos - Cantidad total de temas disponibles;Progreso (cantidad de temas);Mejor progreso en el gráfico circular - Cantidad total de temas disponibles;Tiempo Total Tiempo;Tiempo total - Practicados;Tiempo total - Aprendidos/hora;Tiempo total dedicado a esta clase;programa en matricula;division en matricula;Asignatura Relacionada;Mat Curso Asignatura Relacionada;Categoria temas final;avance precalculo aleks;Categoria temas inicial;nota primer parcial;pidm en matricula;avance cuartiles;cumplimiento temas;nota final
202410;N;1;N;15/01/2024 9:36:55 a. m.;202410 Pre-Cálculo ANEC;Precálculo;15/01/2024 9:47:04 a. m.;304;64;0,333333333;0;79;21;79;19,01666667;23;1,104730174;19,01666667;Negocios Internacionales;Escuela de Negocios;CALCULO I (ANEC);MAT1100;2 Ecuaciones y desigualdades;21;0 No dominó temas;4,4;1;1 Avance entre [ 18 - 37 temas];No alcanzo meta;3,4
202410;N;2;N;11/01/2024 2:16:57 p. m.;202410 Pre-Cálculo ANEC;Precálculo;11/01/2024 2:22:50 p. m.;340;74;0,283333333;0;79;49;79;37,65;58;1,460607849;37,65;Negocios Internacionales;Escuela de Negocios;CALCULO I (ANEC);MAT1100;3 Temas Parcial 1 Cálculo I;49;0 No dominó temas;5;2;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;4,7
202410;N;3;N;11/01/2024 2:10:38 p. m.;202410 Pre-Cálculo ANEC;Precálculo;11/01/2024 2:16:32 p. m.;297;78;0,283333333;0;79;11;79;19,96666667;15;0,550941191;19,96666667;Economía;Div Humanidades, Artes y Cs. S;CALCULO I (ANEC);MAT1100;2 Ecuaciones y desigualdades;11;0 No dominó temas;4,1;3;0 Avance menor a 18 temas;No alcanzo meta;3,3
202410;N;4;N;15/01/2024 9:08:42 a. m.;202410 Pre-Cálculo ANEC;Precálculo;15/01/2024 9:12:30 a. m.;331;69;0,833333333;0;79;9;79;10,21666667;12;0,880817747;10,21666667;Administración de Empresas;Escuela de Negocios;CALCULO I (ANEC);MAT1100;1 Repaso de Álgebra y Geometría;9;0 No dominó temas;2,6;4;0 Avance menor a 18 temas;No alcanzo meta;3,1
202410;N;5;N;18/01/2024 8:44:18 a. m.;202410 Pre-Cálculo ANEC;Precálculo;18/01/2024 8:58:53 a. m.;345;71;0,1;0;79;7;79;3,916666667;7;1,789264414;3,916666667;Básico Negoc Internacionales;Centro de Educ. Continuada;CALCULO I (ANEC);MAT1100;1 Repaso de Álgebra y Geometría;7;0 No dominó temas;;5;0 Avance menor a 18 temas;No alcanzo meta;1,5
202410;N;6;N;11/01/2024 2:13:05 p. m.;202410 Pre-Cálculo ANEC;Precálculo;11/01/2024 2:17:58 p. m.;319;71;0,483333333;0;79;31;79;48,11666667;28;0,498845266;48,11666667;Administración de Empresas;Escuela de Negocios;CALCULO I (ANEC);MAT1100;3 Temas Parcial 1 Cálculo I;31;0 No dominó temas;4,2;6;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;3,5
202410;N;7;N;11/01/2024 2:11:15 p. m.;202410 Pre-Cálculo ANEC;Precálculo;11/01/2024 2:15:57 p. m.;353;73;0,466666667;0;79;39;79;36,18333333;38;0,884507302;36,18333333;Administración de Empresas;Escuela de Negocios;CALCULO I (ANEC);MAT1100;3 Temas Parcial 1 Cálculo I;39;0 No dominó temas;4,1;7;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;3,6
202410;N;8;N;11/01/2024 2:12:14 p. m.;202410 Pre-Cálculo ANEC;Precálculo;11/01/2024 2:17:00 p. m.;288;67;0,133333333;0;79;45;79;30,18333333;48;1,523641282;30,18333333;Negocios Internacionales;Escuela de Negocios;CALCULO I (ANEC);MAT1100;3 Temas Parcial 1 Cálculo I;45;0 No dominó temas;4,5;8;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;3,8
202410;N;9;N;15/01/2024 9:37:56 a. m.;202410 Pre-Cálculo ANEC;Precálculo;15/01/2024 9:52:15 a. m.;307;73;0,216666667;0;79;26;79;19;28;1,368001052;19;Negocios Internacionales;Escuela de Negocios;CALCULO I (ANEC);MAT1100;2 Ecuaciones y desigualdades;26;0 No dominó temas;1,9;9;1 Avance entre [ 18 - 37 temas];No alcanzo meta;1,5
202410;N;10;N;15/01/2024 9:46:05 a. m.;202410 Pre-Cálculo ANEC;Precálculo;15/01/2024 9:50:38 a. m.;345;71;0,65;0;79;28;79;20,63333333;34;1,550867651;20,63333333;Negocios Internacionales;Escuela de Negocios;CALCULO I (ANEC);MAT1100;2 Ecuaciones y desigualdades;28;0 No dominó temas;2,4;10;1 Avance entre [ 18 - 37 temas];No alcanzo meta;2,5
202410;N;11;N;11/01/2024 2:09:59 p. m.;202410 Pre-Cálculo ANEC;Precálculo;11/01/2024 2:13:28 p. m.;302;63;0,233333333;0;79;10;79;10,13333333;14;0,986950324;10,13333333;Administración de Empresas;Escuela de Negocios;CALCULO I (ANEC);MAT1100;1 Repaso de Álgebra y Geometría;10;0 No dominó temas;4;11;0 Avance menor a 18 temas;No alcanzo meta;3,4
202410;N;12;N;15/01/2024 9:30:11 a. m.;202410 Pre-Cálculo ANEC;Precálculo;15/01/2024 9:46:45 a. m.;261;71;0,3;0;79;0;79;3,833333333;2;0;3,833333333;Negocios Internacionales;Escuela de Negocios;CALCULO I (ANEC);MAT1100;0 No dominó temas;0;0 No dominó temas;2,3;12;0 Avance menor a 18 temas;No alcanzo meta;3,7
