Icfes_nuevo;Icfes_Matematicas;Tiempo_empleado_en_la_verificación_de_conocimientos;Dominio_Inicial;Categoria_temas_inicial;avance_precalculo_aleks;Dominio_Final;Categoria_temas_final;Tiempo_Total_Tiempo;Tiempo_total_Aprendidos_hora;programa_en_matricula;division_en_matricula;Mat_Curso_Asignatura_Relacionada;avance_cuartiles;cumplimiento_temas;nota_primer_parcial;nota_final
296;59;0,616666667;2;1 Repaso de álgebra y geometría;12;14;2 Ecuaciones y desigualdades;24,98333333;0,680355297;Ingeniería Civil;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2;2,4
305;57;1,116666667;6;1 Repaso de álgebra y geometría;11;17;2 Ecuaciones y desigualdades;7,883333333;1,395791477;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,4;1,5
358;77;0,316666667;0;0 No dominó temas;33;33;3 Temas Parcial 1 Cálculo I;26,58333333;1,128609198;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,9;4,2
379;76;0,233333333;1;1 Repaso de álgebra y geometría;11;12;2 Ecuaciones y desigualdades;6,5;1,69295883;Geología;División de Ciencias Básicas;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3;3,8
335;71;1,05;24;2 Ecuaciones y desigualdades;18;42;3 Temas Parcial 1 Cálculo I;12,28333333;1,465035835;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,5;4
277;52;0,316666667;1;1 Repaso de álgebra y geometría;5;6;1 Repaso de Álgebra y Geometría;8,75;0,571428571;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;1,7;2,5
351;65;0,133333333;1;1 Repaso de álgebra y geometría;30;31;3 Temas Parcial 1 Cálculo I;14,05;2,205882353;Ingeniería Industrial;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,3;4
345;78;0,533333333;8;1 Repaso de álgebra y geometría;6;14;2 Ecuaciones y desigualdades;9,8;0,612262252;Economía;Div Humanidades, Artes y Cs. S;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;5;5
345;71;2,6;20;2 Ecuaciones y desigualdades;23;43;3 Temas Parcial 1 Cálculo I;21,18333333;1,133159337;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;3;3,2
352;70;2,85;35;3 Temas Parcial 1 Cálculo I;44;79;4 Temas Parcial 2 Cálculo I;25,81666667;1,781277227;Ingeniería Electrónica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;3,98;4,3
336;63;0,233333333;2;1 Repaso de álgebra y geometría;29;31;3 Temas Parcial 1 Cálculo I;20,8;1,442577405;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,8;3,5
353;64;0,333333333;2;1 Repaso de álgebra y geometría;64;66;4 Temas Parcial 2 Cálculo I;37,91666667;1,634961214;Administración de Empresas;Escuela de Negocios;MAT1100;3 Avance superior a 55 temas;Cumplimiento meta;3,6;3,3
262;58;0,8;0;0 No dominó temas;14;14;2 Ecuaciones y desigualdades;20,7;0,676319427;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,3;1,5
356;73;0,366666667;0;0 No dominó temas;32;32;3 Temas Parcial 1 Cálculo I;16,01666667;1,998577402;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,37;3
332;68;0,133333333;1;1 Repaso de álgebra y geometría;59;60;4 Temas Parcial 2 Cálculo I;35,15;1,593499534;Ingeniería Industrial;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;3,9;4
345;71;0,65;0;0 No dominó temas;28;28;2 Ecuaciones y desigualdades;20,63333333;1,550867651;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;2,4;2,5
318;59;0,7;2;1 Repaso de álgebra y geometría;23;25;2 Ecuaciones y desigualdades;12,08333333;1,90428003;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;2,5;3
295;66;0,033333333;0;0 No dominó temas;9;9;1 Repaso de Álgebra y Geometría;20,51666667;0,438715268;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;1,9;1,5
365;79;0,233333333;0;0 No dominó temas;11;11;2 Ecuaciones y desigualdades;5,05;2,176302484;Economía;Div Humanidades, Artes y Cs. S;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,1;4,3
400;81;0,866666667;12;2 Ecuaciones y desigualdades;13;25;2 Ecuaciones y desigualdades;8,916666667;1,456809339;Ingeniería Eléctrica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,5;4,2
353;73;0,466666667;0;0 No dominó temas;39;39;3 Temas Parcial 1 Cálculo I;36,18333333;0,884507302;Administración de Empresas;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;4,1;3,6
311;64;0,533333333;4;1 Repaso de álgebra y geometría;37;41;3 Temas Parcial 1 Cálculo I;24,68333333;1,498885963;Ingeniería Eléctrica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,5;3,8
349;62;0,75;11;2 Ecuaciones y desigualdades;7;18;2 Ecuaciones y desigualdades;6;1,166612657;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,9;3,3
416;73;2,5;35;3 Temas Parcial 1 Cálculo I;44;79;4 Temas Parcial 2 Cálculo I;21,46666667;2,095812257;Ingeniería Civil;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,8;4,9
367;71;0,166666667;0;0 No dominó temas;3;3;1 Repaso de Álgebra y Geometría;1,75;1,716192595;Ingeniería Civil;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;1,8;2,3
312;69;0,233333333;0;0 No dominó temas;12;12;2 Ecuaciones y desigualdades;22,73333333;0,528033442;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;1,64;1,5
372;76;0,283333333;1;1 Repaso de álgebra y geometría;30;31;3 Temas Parcial 1 Cálculo I;13,63333333;2,27268099;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,2;3,6
358;71;0,75;12;2 Ecuaciones y desigualdades;61;73;4 Temas Parcial 2 Cálculo I;29,41666667;2,175185514;Economía;Div Humanidades, Artes y Cs. S;MAT1100;3 Avance superior a 55 temas;Cumplimiento meta;4,5;4,3
338;75;0,383333333;1;1 Repaso de álgebra y geometría;1;2;1 Repaso de Álgebra y Geometría;1,8;0,555641303;Geología;División de Ciencias Básicas;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,9;3
356;70;0,95;40;1 Repaso de álgebra y geometría;25;65;1 Repaso de Álgebra y Geometría;4,966666667;5,025686844;Ciencia de Datos;División de Ciencias Básicas;MAT4190;1 Avance entre [ 25 - 55 temas];No alcanzo meta;3,9;3
411;100;1,516666667;13;2 Ecuaciones y desigualdades;63;76;4 Temas Parcial 2 Cálculo I;35,31666667;1,811961779;Ingeniería Mecánica;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,6;4,6
303;68;0,3;1;1 Repaso de álgebra y geometría;3;4;1 Repaso de Álgebra y Geometría;3,05;0,986031224;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;3,4;3,2
305;56;0,616666667;0;0 No dominó temas;54;54;3 Temas Parcial 1 Cálculo I;47,11666667;1,082534404;Básico Negoc Internacionales;Centro de Educ. Continuada;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;3;3,9
